Connecticut Children's Museum	15	$825	
Wheat	3	$800	
South Central Regional Economic Development Corporation (REX)	7	$800	
New Haven Folk	21	$795	
Mary Wade Home	14	$780	
Animal Haven	15	$775	
Children in Placement	6	$750	
New Haven Promise	6	$725	
Bridges A Community Support System	8	$725	
Alexis Hill Montessori School	7	$700	
Eli Whitney Museum	9	$700	
Connecticut Coalition to End Homelessness	10	$685	
Online Journalism Project	5	$675	
The Connection	5	$625	
Hannah Gray Home	8	$625	
Edgerton Park Conservancy	7	$625	
Liberty Community Services	13	$620	
Hugo Kauder Society	8	$615	
Associated Irish Societies	13	$575	
Arte	13	$575	
Connecticut Voices for Children	8	$561	
Derby Community Endowment	7	$550	
SARAH Foundation	6	$550	
Abilities Without Boundaries	2	$550	
Guilford Interfaith Ministries	10	$550	
Youth Rights Media	11	$525	
Children's Center of Hamden	3	$525	
Orchestra New England	5	$525	
WPKN	13	$510	
Hamden/North Haven YMCA	6	$500	
Partnership for Strong Communities	11	$480	
West Haven Community House	5	$425	
Connecticut Fund for the Environment (Save the Sound)	7	$410	
Nature Conservancy	3	$400	
Hamden Hall School	3	$400	
Shoreline Arts Alliance	5	$400	
Massaro Community Farm	9	$375	
Connecticut Trust For Historic Preservation	2	$350	
Central Connecticut Coast YMCA	2	$350	
Schooner	5	$325	
Women's Health Research at Yale University	5	$325	
Concepts for Adaptive Learning	3	$325	
Rape Crisis Center of Milford	5	$310	
Environment and Human Health	1	$300	
Cornell Scott Hill Health Corporation	2	$300	
Public Allies	6	$275	
Valley Community Foundation	7	$265	
Guilford Art Center	4	$250	
Farnam Neighborhood House	1	$250	
Guilford Center for Children	5	$230	
Greater New Haven Help Alliance	4	$225	
MovingWithHOPE	4	$225	
AIDS Project New Haven	2	$200	
Connecticut Veterans Legal Center	5	$175	
Greater New Haven Labor History Association	4	$175	
New Haven Healthy Start	4	$150	
New Haven YMCA Youth Center	5	$150	
Friends of the New Haven Animal Shelter	4	$150	
Mary A. Schmecker Turtle Shell Fund	4	$150	
Soundview Family YMCA in Branford	3	$150	
Cancer Support Community of Southern Connecticut	2	$150	
Interfaith Volunteer Care Givers of Greater New Haven	2	$135	
Boy Scouts of America, CT Yankee Council	3	$125	
WorkPlace	2	$125	
Youth Continuum	3	$125	
Valley Arts Council	2	$125	
Audubon Connecticut	3	$105	
Marrakech	2	$100	
Reach Out and Read	2	$100	
The Community Foundation for Greater New Haven	3	$100	
Hamden Land Conservation Trust	3	$100	
GROWERS	2	$100	
Connecticut Association for Human Services	1	$100	
America's VetDogs - The Veteran's K-9 Corps.	1	$100	
Achievement First	1	$100	
Branford Food Pantry	3	$100	
Connecticut Sponsoring Committee	1	$100	
The Salvation Army (New Haven Corps)	2	$80	
New Haven HomeOwnership Center	2	$75	
Wesley Heights	2	$75	
Ability Beyond Disability	1	$75	
Get In Touch Foundation	3	$75	
Love146	2	$75	
Ethnic Historical Archives Center of New Haven	2	$72	
Young Parents Program of Milford	1	$50	
Leukemia & Lymphoma Society	2	$50	
Guide Dog Foundation for the Blind	2	$50	
Emergency Shelter Management Services	2	$50	
Connecticut Women's Hall of Fame	2	$50	
Yale University Art Gallery	2	$50	
Area Cooperative Educational Services	1	$50	
CancerCare	1	$50	
Good Shepherd Day Care Center	1	$50	
Helen Keller International/ChildSight® Program	1	$50	
Watershed Fund	1	$50	
Valley Emergency Medical Services	2	$50	
West Haven Child Development Center	2	$50	
1000 Friends of Connecticut	1	$25	
Friends of Animals	1	$25	
Leeway	1	$25	
Mutual Housing Association of South Central Connecticut	1	$25	
New Haven Youth Tennis	1	$25	
Easter Seal Goodwill Industries Rehabilitation Center	1	$25	
Shelton Economic Development Corporation	1	$25	
Theres No Place Like Home	1	$25	
Wallingford Chorus	1	$25	
World Wildlife Fund	1	$25	
Projects for a New Millennium	1	$25	
Almada Lodge - Times Farm Camp Corporation	0	$0	
ALS Association, Connecticut Chapter	0	$0	
American Anti-Vivisection Society	0	$0	
American Symphony Orchestra League	0	$0	
Ansonia Community Action	0	$0	
Ansonia School Readiness Council	0	$0	
Architecture Resource Center	0	$0	
ArtBra New Haven	0	$0	
Beulah Heights First Pentecostal Church (Social Integration Program)	0	$0	
Botsford Family Historical Association	0	$0	
Center for Children's Advocacy	0	$0	
Children's Community Programs of Connecticut	0	$0	
Children's Law Center of Connecticut	0	$0	
Congregation Beth El-Keser Israel	0	$0	
Connecticut Juvenile Justice Alliance	0	$0	
Connecticut Women's Education and Legal Fund	0	$0	
Yale-New Haven Hospital	0	$0	
Corporation For Supportive Housing	0	$0	
Covenant to Care for Children	0	$0	
Family Centered Services of CT	0	$0	
Greater New Haven Business and Professional Association	0	$0	
Hopkins School - Breakthrough	0	$0	
Horizons	0	$0	
Horns For Kids	0	$0	
Housatonic Valley Association	0	$0	
Jewish Home for Children	0	$0	
Junior Achievement of Southwest New England	0	$0	
Junior Achievement of Western Connecticut	0	$0	
Kennedy Center	0	$0	
Learning Ally	0	$0	
Literacy Volunteers Valley Shore CT	0	$0	
Naugatuck Valley Project	0	$0	
New Life Corporation (also known as New Financial Life)	0	$0	
Peabody Museum of Natural History, Yale University	0	$0	
Prosperity Foundation	0	$0	
Sacred Heart Manor Nursery and Kindergarten	0	$0	
School for Ethical Education	0	$0	
Sea Research Foundation	0	$0	
Seymour-Oxford Nursery & Child Care Association	0	$0	
South Central Peer Services	0	$0	
Southwestern AHEC	0	$0	
Student Parenting and Family Services	0	$0	
Sunshine Golden Retriever Rescue Corp.	0	$0	
Teach Our Children	0	$0	
The Salvation Army (East New Haven County Service Unit)	0	$0	
The Salvation Army (Milford Service Unit)	0	$0	
The Salvation Army (Wallingford Service Unit)	0	$0	
Urban League Of Southern Connecticut	0	$0	
Visiting Nurse Association Community Healthcare	0	$0	
Vista Vocational & Life Skills Center	0	$0	
Volunteer Services Center	0	$0	
Wallingford Public Access	0	$0	
Watershed Partnership	0	$0	
Women of Power Network	0	$0	
Women's Business Development Council	0	$0	
Woodbridge Community Playground	0	$0	
Woodruff Family Y in Milford	0	$0	
Consultation Center	0	$0	
